morpheme;variant;key;type;transitivity;nature;number;compositionRoot;plural;intransSuffix;transSuffix;antipassive;engMean;freMean;source;dialect;cf;END
tiriganiaq;;1;n;;zoo;;;;;;;fox;renard;;;;.
tirigluk;;1;n;;zoo;;;;;;;(1) new-born bearded seal or square-flipper (2) month of April;(1) phoque barbu nouveau-né (2) mois d'avril;;;;.
tiriqquq;;1;n;;;;;;;;;corner or angle of a square or rectangular object;coin ou angle d'un objet carré ou rectangulaire;;;;.
ttiatna;ttianak;1;e;;;;;;;;;"exclamation: ""like that!"" "" in that manner!""";"exclamation: ""Comme ça!"" ";;;;
tuapak;;1;n;;;;;;;;;gravel;;;;;
tugaliaq;;1;n;;;;;;;;;(1) fish cache (2) dwelling made of ice slabs and canvas over the top;(1) cachette à poisson (2) hatitation faite de plaques de glace recouvertes de toiles;;;;.
tugli;;1;n;;;;;;;;;to following or preceding (next) of something;suivant;;;;.
tui;;1;n;;ana;;;;;;;shoulder;épaule;;;;.
tukatuk;;1;n;;;;;;;;;purr or putt of engine;ronronnement d'un moteur;;;;.
tuki;;1;n;;;;;;;;;(1) meaning (2) order;;;;;
tuktu;;1;n;;zoo;;;;;;;arctic caribou;caribou polaire;;;;.
tulimaaq;;1;n;;ana;;;;;;;rib (human or animal);côte (humaine ou animale);;;;.
tullik;;1;n;;zoo;;;;;;;kildeer;pluvier kildir;;;;.
tulugaq;;1;n;;zoo;;;;;;;raven;corbeau;;;;.
tuluriaq;;1;n;;ana;;;;;;;eye tooth;dent canine chez l'être humain;;;;.
tumi;;1;n;;;;;;;;;track;;;;;
tummaq;;1;n;;;;;;;;;(1) knit bone (2) person with a knit bone;(1) maladie: knit-bone (2) personne avec cette maladie;;;;.
tumniq;;1;n;;;;;;;;;tattoo;tatou;;;;.
tunga;tungi;1;n;;;;;;;;;the near side of something;le côté rapproché de qqch.;;;;.
tunguniq;;1;n;;;;;;;;;dark blue-black or purplish fog;brume foncée bleu-noir ou violacée;;;;.
tuniq;;1;n;;;;;;;;;race of bestial or beast-like men before the Inuit;race d'hommes-bêtes avant les Inuit;;;;.
tunirjuk;;1;n;;ana;;;;;;;sternum;sternum;;;;.
tunnuq;;1;n;;;;;;;;;back fat;gras du dos;;;;.
tunu;;1;n;;ana;;;;;;;the back or rear of something;la partie arrière de qqch.;;;;.
tununiq;;1;n;;;;;;;;;shadow side;;;;;
tupiq;;1;n;;;;;;;;;tent;tente;;;;.
tupkujaq;;1;n;;ana;;;;;;;exterior throat;gorge extérieure;;;;.
tuputaq;;1;n;;;;;;;;;wound plug;tampon pour blessure;;;;.
tuqaluk;;1;n;;;;;;;;;rain;;;;;
tuqu;;1;n;;;;;;;;;death;mort;;;;.
tur&uk;;1;n;;ana;;;;;;;trachea;trachée;;;;.
tursuuk;;1;n;;;;;;;;;place of entry or exit;;;;;
tusuu;tusuuk;1;e;;;;;;;;;exclamation of jealousy or covetousness;exclamation de jalousie ou de convoitise;;;;.
tutaq;;1;n;;;;;;;;;(1) side of the jaw (2) seam on either side of the neck of a skin garment;(1) intérieur de la machoire (2) couture chaque côté de l'encolure d'un vêtement de peau;;;;.
tuukkaq;;1;n;;;;;;;;;harpoon head for walrus with double blade;tête de harpon à morse à double lame;;;;.
tuullik;;1;n;;zoo;;;;;;;great northern diver or common loon;canard huart;;;;.
tuuq;;1;n;;;;;;;;;long-handled ice chisel;ciseau à glace à long manche;;;;.
tuvaq;;1;n;;;;;;;;;solid sea ice touching up against the land;glace de mer solide touchant au rivage;;;;.
uangnaq;uangniq;1;n;;;;;;;;;the north-west;le nord-ouest;;;;.
uaq;;1;e;;;;;;;;;"expression of amazement: ""My!"" ""My goodness!"" [WCHB";;;;;
uattiaq;;1;a;;;;;;;;;a little while ago;il y a quelque temps;;;;.
uattiaruk;;1;a;;;;;;;;;in a little while;dans quelque temps;;;;.
ublaaq;;1;n;;;;;;;;;morning;;;;;
ublu;;1;n;;;;;;;;;bird's nest;nid d'oiseau;;;;.
ubluq;;1;n;;;;;;;;;day;jour, journée;;;;.
ubluriaq;;1;n;;;;;;;;;star;étoile;;;;.
ugjuk;;1;n;;zoo;;;;;;;bearded seal;;;;;
ugliq;;1;n;;;;;;;;;walrus nest;endroit où vit le morse;;;;.
ui;uik;1;n;;;;;;;;;husband;époux;;;;.
uirniq;uirnaq;1;n;;;;;;;;;extreme front of the sled;extrémité avant du traîneau;;;;.
uja;;1;n;;;;;;;;;collar portion of sealskin;partie près du cou d'une peau de phoque;;;;.
ujaraq;;1;n;;;;;;;;;rock;;;;;
ujattiut;;1;n;;;;;;;;;suspender or brace for trousers;bretelles pour pantalons;;;;.
ujuru;;1;n;;;;;;;;;nephew or niece through sister of a man;neveu ou nièce de la soeur d'un homme;;;;.
ujuu;;1;e;;;;;;;;;"exclamation of exhaustion: ""Whew!"" ""I'm exhausted!""";exclamation signifiant qu'on est exténué;;;;.
ukaliq;;1;n;;zoo;;;;;;;arctic hare;lièvre arctique;;;;.
ukiaq;;1;n;;;;;;;;;autumn (October roughly);automne (en gros, le mois d'octobre);;;;.
ukiuq;;1;n;;;;;;;;;(1) winter (2) year, as a unit of time;(1) hiver (2) année (unité de temps);;;;.
ukkaq;;1;n;;;;;;;;;entrance end of an igloo;partie de l'iglou où l'on entre;;;;.
ukkuaq;;1;n;;;;;;;;;(1) door (2) rifle bolt;(1) porte (2) culasse d'une carabine;;;;.
ukpat;;1;n;;ana;;;;;;;hind quarter;;;;;
ukpik;;1;n;;zoo;;;;;;;snowy owl;harfang des neiges;;;;.
ukuaq;;1;n;;;;;;;;;wife of son;;;;;
ukusik;;1;n;;;;;;;;;big soapstone kettle used for cooking;;;;;
ulik;;1;n;;;;;;;;;blanket;;;;;
uliut;;1;n;;;;;;;;;caribou back sinew with tenderloin meat adhering;tendon du dos du caribou avec le filet de viande;;;;.
ulu;;1;n;;;;;;;;;woman's half-moon knife;couteau de femme en forme de demi-lune;;;;.
uluaq;;1;n;;ana;;;;;;;cheek;joue;;;;.
ulurniq;;1;n;;;;;;;;;back site of a rifle;partie arrière d'une carabine;;;;.
umaq;;1;n;;;;;;;;;boot seam;couture de botte;;;;.
umiaq;;1;n;;;;;;;;;boat;bateau;;;;
umik;;1;n;;;;;;;;;beard;barbe;;;;.
uminak;;1;n;;;;;;;;;tent [Padl.];tente [Padl.];;;;.
ummak;;1;n;;;;;;;;;ripe fruit [N. Baffin];fruit mûr [Terre de Baffin nord];;;;.
ummik;;1;n;;;;;;;;;metal rim or clamp fastening blade to handle;bande de métal pour attacher la lame au manche;;;;.
unaaq;;1;n;;;;;;;;;harpoon;;;;;
unaliq;;1;n;;;;;;;;;Cree Indian;indien Cri;;;;.
unga;;1;n;;;;;;;;;the far side, the beyond of something;le côté éloigné de qqch.;;;;.
ungat;ungatik;1;n;;;;;;;;;place on the sleeping bench;place sur la couchette;;;;.
ungata;ungati;1;n;;;;;;;;;the far side, the beyond of something;le côté éloigné de qqch.;;;;.
unipkaaq;;1;n;;;;;;;;;story;;;;;
uniq;;1;n;;ana;;;;;;;arm pit;aisselle;;;;.
uniut;;1;n;;;;;;;;;skin used as a substitute sled;peau utilisée comme traîneau de remplacement;;;;.
unnguq;;1;n;;;;;;;;;wart;verrue;;;;.
unniit;;1;e;;;;;;;;;expression of acceptance of a non ideal solution;expression signifiant l'acceptation d'une solution considérée non idéale;;;;.
unnuk;;1;n;;;;;;;;;evening;;;;;
upirngaaq;;1;n;;;;;;;;;arctic spring;printemps arctique;;;;.
uqaq;;1;n;;ana;;;;;;;(1) tongue (2) bait pan of animal trap;(1) langue (2) languette où l'on met l'appât dans une trappe d'animal;;;;.
uqquu;;1;n;;;;;;;;;(1) heat;;;;;
uqsuq;;1;n;;;;;;;;;fat;;;;;
uquk;;1;n;;;;;;;;;(1) rust of metal (2) mould of food;;;;;
uriaq;;1;n;;;;;;;;;spit;crachat;;;;.
uriiq;;1;e;;;;;;;;;exclamation: call to the sled dogs to follow a sledge track;exclamation: appel aux chiens de traîneau pour qu'ils suivent les traces de traîneaux;;;;.
urjuq;;1;n;;bot;;;;;;;spaghnum moss;mousse de sphaigne;;;;.
urpik;;1;n;;bot;;;;;;;arctic willow;saule arctique;;;;.
ursiq;;1;n;;;;;;;;;dog-trace ring [WCHB];anneau [côte ouest de la Baie d'Hudson];;;;.
uruniq;;1;n;;;;;;;;;(1) intestine of arctic grouse (2) liquidy soft excretion of arctic grouse;(1) intestin de la grouse arctique (2) excrétion liquide de la grouse arctique;;;;.
usi;;1;n;;;;;;;;;cargo;;;;;
usiit;;1;e;;;;;;;;;expression of sudden remembrance;expression signifiant qu'on vient soudainement de se souvenir de qqch.;;;;.
usuk;;1;n;;ana;;;;;;;(1) male sex organ (2) small catch of animal trap preventing the closing of its jaws;(1) organe sexuel mâle (2) petit loquet d'un piège empêchant les mâchoires de se refermer;;;;.
utajuraq;;1;n;;zoo;;;;;;;medium-sized species of jar seal;espèce de taille moyenne de phoque annelé;;;;.
uttuuk;;1;n;;ana;d;;;;;;female sex organ;organe sexuel femelle;;;;.
utuqqaq;;1;n;;;;;;;;;old man;vieil homme;;;;.
uugaq;;1;n;;zoo;;;;;;;cod;;;;;
uujuq;;1;n;;;;;;;;;stew;;;;;
uummat;;1;n;;ana;;;;;;;heart;coeur;;;;.
uuttuq;;1;n;;zoo;;;;;;;basking seal;phoque se prélassant au soleil;;;;.
uvattiutik;;1;n;;zoo;;;;;;;mink;vison;;;;.
uviluq;;1;n;;zoo;;;;;;;mussel;moule;;;;.
uvinik;;1;n;;ana;;;;;;;human flesh;;;;;
