morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
&&apik;1;sv;vv;m;n;;;;&&apik;n;n;;&&apik;s;s;;&&apik;s;s;;&&apik;s;s;;implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!';implique de la frustration ou de la contrariété à cause d'un embarras, d'un désagrément ou d'un dérangement à ses plans;;;;A1;;;m
&&aq;1;sv;vv;m;n;;;;&&aq;n;n;;&&aq;s;s;;&&aq;s;s;;&&aq;s;s;;implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!';implique de la frustration ou de la contrariété à cause d'un embarras, d'un désagrément ou d'un dérangement à ses plans;;;;A1;;;m
&aq;1;sv;vv;m;i;;;;&aq;n;n;;0;0;0;;0;0;0;;0;0;0;;identification;identification;id:u/1nv;;mode:caus;H1;;;m
&iq;1;sn;nn;t;;;;;&iq lliq;n n;n;;&iq lliq;n s;n s;;&iq lliq;n s;n s;;&iq lliq;n s;n s;;superlativeness, highest degree, the most of all;superlatif, le plus haut degré, le plus ... de tous;;;;;;;m
a;1;sv;vv;m;t;;;ksi/1vv ri/1vv gi/4vv;a aq;n n;n;;a aq;s s;s;;a aq;s s;s;;a aq;s s;s;;action done several times, or continuously, or on several objects, or by several subjects;;;;;;;;
ajak;1;sn;nv;m;i;;;;ajak;n;n;;akak;s;s;;ajak;s;s;;ajak;s;s;;to take many (animals);attraper beaucoup d'animaux;;;;A1;;;m
allak;1;sv;vv;m;n;;;;allak ala;n-i(ra) n-i(ra);n;i(ra);allak ala;s-i(ra) s-i(ra);s;i(ra);allak ala;s-i(ra) s-i(ra);s;i(ra);allak ala;s-i(ra) s-i(ra);s;i(ra);ease, simpleness of action;;;;;;;;
aluk;1;sn;nn;t;;;;;aluk aaluk;n-i(ra) n-i(ra);n n;i(ra) i(ra);aluk aluk aaluk;s-i(ra) i(i) s-i(ra);s i(i) s;i(ra) - i(ra);aluk aaluk;s-i(ra) s-i(ra);s s;i(ra) i(ra);aluk aaluk;s-i(ra) s-i(ra);s s;i(ra) i(ra);largeness;;;;;;;;
anik;1;sv;vv;m;n;;;;anik;n-i(ra);n;i(ra);anik;s-i(ra);s;i(ra);anik;s-i(ra);s;i(ra);anik;s-i(ra);s;i(ra);action already done;;;;;;;;
annuk;1;sn;nn;t;;;;;annuk;n-i(r);n;i(r);annuk;s;s;;annuk;s;s;;annuk;s-?;s;;diminutiveness;;;;;;;;
apik;1;sn;nn;t;;;;;apik;n-i(ra);n;i(ra);apik;s-i(ra);s;i(ra);apik;s-i(ra);s;i(ra);apik;s-i(ra);s;i(ra);diminutiveness;;;;;;;;
aq;1;sn;nv;m;i;;;;0;;0;;aq uq;s s;s;;0;0;0;;0;0;0;;arrival at a place: 'go to';arrivée à un endroit: 'aller à';case:dat;;;H1;;;m
aq;2;sn;nv;m;t;;;si/1vv ri/1vv;aq;n;n;;aq;s;s;;aq;s;s;;aq;s-?;s;;1) to spread s.t. (a substance) on s.t. 2) to hurt s.o. on a body part;;;;;;;;
arjuk;1;sn;nn;t;;;;;arjuk;n-i(ra);n;i(ra);arjuk;s-i(ra);s;i(ra);arjuk arjuk;s-i(ra) s-i(ga);s;i(ra) i(ga);arjuk;s-i(ra);s;i(ra);smallness;;;;;;;;
arjuk;2;sv;vv;m;n;;;;arjuk;n-i(ra);n;i(ra);arjuk;s-i(ra);s;i(ra);arjuk arjuk;s-i(ra) s-i(ga);s;i(ra) i(ga);arjuk;s-i(ra);s;i(ra);a little;un peu;;;;A1;;;m
gai;1;sv;vv;m;n;;;;gai gaik;n n;n;;gai gaik;n n;n;;gai gaik kaik;s s n;s s n;;rai raik;s s;s s;;whenever;chaque fois que, lorsque;;;;;;;m
gajuk;1;sv;vv;m;n;;;;gajuk;n;n;;gajuk;s;s;;gajuk;s;s;;rajuk;s;s;;expresses more than regular action: 'frequently', 'always';exprime une action plus que régulière: 'fréquemment', 'toujours';;;;A1;;;m
galaq;1;sn;nn;m;;;;;galaq;n;n;;galaq;s;s;;galaq;s;s;;galaq;s;s;;collectiveness;;;;;;;;
galuaq;1;sv;vv;m;n;;;;galuaq;n;n;;kaluaq;a;a;;kaluaq;s;s;;raluaq;s;s;;really;;;;;;;;
galuaq;2;sv;vn;t;;;;;galuaq;n;n;;kaluaq;a;a;;kaluaq;s;s;;raluaq;s;s;;really;;;;;;;;
gaq;1;sv;vn;t;;;;;gaq;n;n;;gaq;s;s;;gaq;s;s;;gaq;s;s;;forms a noun with an inherently passive meaning: someone/something that one ...;forme un nom avec un sens inhérent passif: quelqu'un/quelque chose que l'on ...;;;;H1;;;m
gaq;2;sv;vv;m;t;;;i/1vv si/1vv;gaq;n;n;;gaq;s;s;;gaq;s;s;;gaq;s;s;;frequentative: several times;nil;;;;S1;;;m
ggiq;1;sn;nv;m;i;;;;ggiq;n;n;;gaq;s;s;;ggiq;s;s;;ggiq;s;s;;bring along with;emmener avec soi;type:n function:vn function:nn;;;H1;;;m
gi;1;sn;nv;m;t;;;;gi;n;n;;gi;i(i);i(i);;gi;s;s;;ri;s;s;;have as;;;;;;;;
gi;2;sv;vv;m;n;;;;gi;n;n;;ni ki;a n;a n;;ki gi;n s;n s;;ri;s;s;;again;encore;;;;;;;
gi;3;sv;vv;m;t;;;;gi;n;n;;gi;s;s;;gi;s;s;;ri;s;s;;to find, consider s.t. or s.o. ...;trouver, considérer qqn ou qqch. ...;type:v,nature:a;;;H1;;;m
gi;4;sv;vv;m;t;;;;gi;n;n;;gi;s;s;;gi;s;s;;ri;s;s;;added to [[gi verb(s)]] to use them transitively;ajouté aux verbes 'gi' pour les utiliser transitivement;type:v,transinfix:gi/4vv;i;;H1;;;m
giaq;1;sv;vv;m;n;;;ri/1vv;giaq;n;n;;giaq;s;s;;giaq;s;s;;riaq;s;s;;commencement of action: 'begin to';commencement de l'action: 'commencer à';;;;H1;;;m
giaq;2;sv;vn;t;;;;;giaq;n;n;;giaq;s;s;;giaq;s;s;;riaq;s;s;;which has a natural tendency to;qui a une tendance naturelle à;;;;A1;;;m
giaq;3;sv;vn;t;;;;;giaq;n;n;;giaq;s;s;;giaq;s;s;;riaq;s;s;;the fact of;le fait de;;;;S1;;;m
giik;1;sn;nn;t;;;;;giik;n;n;;giik;i(i);i(i);;giik;s;s;;riik;s;s;;a pair of two (or a group of three or more, in the plural) people or things;;;;;;;;
giik;2;sn;nv;m;i;a;;;giik;n;n;;giik;i(i);i(i);;giik;s;s;;riik;s;s;;to be mutually the same;;;;;;;;
gik;1;sn;nv;m;i;a;;;gik;n;n;;gik;s;s;;gik;s;s;;rik;s;s;;to have good ...;avoir de bons ...;type:n function:vn function:nn;;;A1;;;m
guk;1;sn;nv;m;i;a;;;guk guq;n n;n;;guk guq;s s;s;;guk guq;s s;s;;ruk ruq;s s;s;;to be desirous of the fulfillment of a physical or sensual need;avoir envie ou besoin d'assouvir un besoin physique ou sensuel;type:n function:vn function:nn;;;H1 A1;;;m
gulu;1;sn;nn;t;;;;;gulu;n;n;;gulu;s;s;;gulu;s;s;;gulu;s;s;;terrible;;;;;;;;
guq;2;sn;nv;m;t;;;i/1vv;guq;n;n;;guq;s;s;;guq;s;s;;ruq;s;s;;to make s.o. (refl.: oneself = to mature) become more of what one already is;rendre qqn (réfl.: soi-même = devenir) plus ce qu'on est déjà;type:n function:vn function:nn;;;S1;;;m
gusuk;1;sv;vv;m;i;;;;gusuk;n;n;;gusuk;s;s;;gusuk;s;s;;rusuk;s;s;;added to [[gi verb(s)]] to use them intransitively;ajouté aux verbes 'gi' pour les utiliser intransitivement;type:v,intransinfix:gusuk/1vv;i;;H1;;;m
gusuk;2;sv;vv;m;n;;;;gusuk;n;n;;gusuk;s;s;;gusuk;s;s;;rusuk;s;s;;to like, to want to do s.t.;;;;;;;;
guuq;1;q;q;f;;;;;guuq;n;n;;guuq;a;a;;guuq;s;s;;ruuq;s;s;;reporting discourse: 'he/she said';rapport d'un discours: 'il/elle a dit';;;;H1 A1;;;m
i;1;sv;vv;m;i;;;;i;n;n;;i;s;s;;i;s;s;;i;s-?;s;;added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses;ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs;antipassive:i/1vv;t;;H1;;;m
ijaq;1;sn;nv;m;t;;;i/1vv;ijaq;n-i(ng);n;i(ng);ijaq;i(a);i(a);;ijaq;s-i(ng);s;i(ng);ijaq;s-i(ng);s;i(ng);to remove;;;;;;;;
ilaak;1;q;q;;;;;;ilaak;n-decap;n;decap;ilaak;nas;nas;;ilaak;nas;nas;;ilaak;nas;nas;;"marker of reaffirmation: ""so"", ""indeed""";"marque la réaffirmation: ""ainsi"", ""alors""";;;;A1;;;m
ilitaq;1;sn;nn;t;;;;;ilitaq ilitaq;n-s n-i(ng);n n;s i(ng);ilitaq;i(a);i(a);;ilitaq;s-i(ng);s;i(ng);ilitaq;s-i(ng);s;s;protection for part of body;;;;;;;;
illi;1;sn;nv;m;t;;;i/1vv;illi;n-i(ng);n;i(ng);illi;i(a);i(a);;illi;s-i(ng);s;i(ng);illi;s-i(ng);s;i(ng);to break or to seriously impair a body part;se briser ou sérieusement se blesser à une partie du corps;;;;H1;;;m
innaq;2;sv;vv;m;n;;;;innaq;n-i(ng);n;i(ng);innaq;s-i(ng);s;i(ng);innaq;s-i(ng);s;i(ng);innaq;s-i(ng);s;i(ng);to do nothing but;;;;;;;;
innaq;1;sn;nn;t;;;;;innaq;n-i(ng);n;i(ng);innaq;s-i(ng);s;i(ng);innaq;s-i(ng);s;i(ng);innaq;s-i(ng);s;i(ng);exclusiveness: 'just', 'only';exclusivité: 'juste', 'seulement';;;;H1;;;m
innaujaq;1;sv;vv;m;n;;;;innaujaq;n-i(ng);n;i(ng);innaujaq;s-i(ng);s;i(ng);innaujaq;s-i(ng);s;i(ng);innaujaq;s-i(ng);s;i(ng);to seem to do nothing but, to always do;avoir l'air de ne faire que, de toujours faire;;;;H1;;;m
iq;1;sn;nv;m;t;;;si/1vv i/1vv nnik/1vv;iq;n-i(ng);n;i(ng);iq;i(a);i(a);;iq;s-i(ng);s;i(ng);iq;s-i(ng);s;i(ng);to remove;;;;;;;;
iq;2;sv;vv;m;n;;;;iq;n-i(ng);n;i(ng);iq;i(a);i(a);;iq;s-i(ng);s;i(ng);iq;s-i(ng);s;i(ng);no longer;ne plus;;;;H1;;;m
iqsuq;1;sn;nv;m;i;;;;iqsuq;n-i(ng);n;i(ng);iqsuq;i(a);i(a);;iqsuq;s-i(ng);s;i(ng);iqsuq;s-i(ng);s;i(ng);to do a number of times;faire un nombre de fois;nature:nb;;;H1;;;m
irujjaq;1;sn;nn;t;;;;;irujjaq;n-i(ng);n;i(ng);irujjaq;i(a);i(a);;irujjaq;s-i(ng);s;i(ng);irujjaq;s-i(ng);s;i(ng);one who is bereft of s.t., who is left without s.t.;qqn qui est privé de qqch., qui est laissé sans qqch.;;;;A1;iq/1nv+uti/1vv+jaq/1vn;;m
irujji;1;sn;nv;m;i;;;;irujji;n-i(ng);n;i(ng);irujji;i(a);i(a);;irujji;s-i(ng);s;i(ng);irujji;s-i(ng);s;i(ng);to remove all of s.t.;tout enlever de qqch.;;;;H1;iq/1nv+uti/1vv+ji/1vv;;m
iruti;1;sn;nv;m;t;;;;iruti;n-i(ng);n;i(ng);iruti;i(a);i(a);;iruti;s-i(ng);s;i(ng);iruti;s-i(ng);s;i(ng);to remove all of s.t. (refl.: to be bereft of;;;;;;;;
isak;1;sn;nv;m;i;;;;isak;n;n;;isak;i(a);i(a);;isak;s;s;;isak;s-?;s;;to have almost no more of s.t.;;;;;;;;
it;3;sn;nv;m;i;;;;it;n-i(ng);n;i(ng);it it;i(a) i(i);i(a) i(i);;it;s-i(ng);s;i(ng);it it;s-i(ng) s-s(a);s s;i(ng) s(a);to be such;être tel;type:a;;;H1;;;m
it;1;sn;nv;m;i;;;;it;n;n;;0;0;0;;0;0;0;;0;0;0;;after -mi: to be in;;;;;;;;
it;2;sn;nv;m;i;;;;it;n-i(ng);n;i(ng);it it;i(a) i(i);i(a) i(i);;it;s-i(ng);s;i(ng);it it;s-i(ng) s-s(ia);s s;i(ng) ssi(i$,a);to have no s.t.;;;;;;;;
it;1;sv;vv;m;i;;;;it;n;n;;it;s;s;;it;s;s;;it;s-s(a);s;s(a);to be the contrary of;être le contraire de;type:v,nature:a;;;;;;m
jaq;1;sv;vn;t;;;;;jaq;n;n;;taq;n;n;;taq;n;n;;taq;n;n;;he/that on whom/which the action is done (passive);personne ou chose sur laquelle l'action est accomplie (passif);;t;;H1;;;m
jaq;1;sv;vv;m;i;;;;jaq jaaq;n n;n;;0;0;0;;0;0;0;;0;0;0;;to seem, to be, to look, to act like being s.t. or s.o.;sembler, être, avoir l'air, agir comme qqch. ou qqn;id:u/1nv;;;H1 A1;;;m
jaq;2;sv;vv;m;n;freq;;;jaq;n;n;;jaq;s;s;;jaq;s;s;;jaq;s;s;;multiple action, or action on multiple objects;action multiple, ou action sur objets multiples;;;;S1;;;m
jaq;3;sv;vn;t;;;;;jaq;n;n;;0;0;0;;0;0;0;;0;0;0;;like, similar to;qui ressemble à, qui est similaire à;id:u/1nv;;;H1;;;m
jaqtuq;1;sv;vv;m;t;;;i/1vv;jaqtuq jaaqtuq;n n;n;;saqtuq;s;s;;giaqtuq;s;s;;riaqtuq;s;s;;go to, go off to, go on to, etc. for a long time;aller faire quelque chose longtemps;;;;H1;;;m
jariaksaq;2;sv;vn;t;;;;;jariaksaq;n;n;;tariaksaq;n;n;;giaksaq;s;s;;riaksaq;s;s;;gives the verbal root a gerundive (nominal) meaning;;;;;;;;
jariaq;1;sv;vn;m;;;;;jariaq giaq;n n;n;;tariaq;n;n;;giaq;s;s;;riaq;s;s;;the obligation to perform an action;l'obligation d'accomplir une action;;;id:qaq/1nv id:lik/1nn;H1;;;m
jariiq;1;sv;vv;m;n;;;;jariiq;n;n;;tariiq;n;n;;giiq;s;s;;riiq;s;s;;action already completed: 'already';action déjà accomplie: 'déjà';;;;H1 A1;;;m
jariuq;1;sv;vv;m;n;;;;jariuq;n;n;;tariuq;n;n;;giuq;s;s;;riuq;s;s;;for the first time';pour la première fois';;;;H1 A1;;;m
jarniq;1;sv;vv;m;t;;;;jarniq;n;n;;garniq;s;s;;garniq;s;s;;niq;s;s;;to be pleasant to...;être plaisant à ...;;t;;A1;;;m
ji;1;sv;vn;t;;;;;ji;n;n;;ti;n;n;;ti;n;n;;ti;n;n;;one whose job is;;;;;;;;
ji;1;sv;vv;m;i;;;;ji;if(id:uti/1vv,s,n);if(id:uti/1vv,s,n);;0;0;0;;0;0;0;;0;0;0;;added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses;ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs;antipassive:ji/1vv;t;;H1;;;m
jjaa;1;sv;vv;m;n;;;;jjaa;n;n;;jjaa;s;s;;jjaa;s;s;;jjaa;s;s;;emphatic future: 'definitely' (always combined with a negative suffix: -nngit-, -junniiq-);futur emphatique: 'définitivement' (toujours combiné à un suffixe négatif: -nngit-, -junniiq-);;;id:junniiq/1vv id:nngit/1vv;H1 A1;;;m
jjaikkut;1;sv;vn;t;;;;;jjaikkut;n;n;;jjaikkut;s;s;;jjaikkut;s;s;;jjaikkut;s;s;;instrument of prevention;instrument de prévention, pour empêcher;;;;H1;;;m
jjaq;1;sn;nv;m;i;;;;jjaq;n;n;;jjaq;s;s;;jjaq;s;s;;jjaq;s;s;;to break;;;;;;;;
jjiq;2;sn;nv;m;i;;;;jjiq;n;n;;jjiq;s;s;;jjiq;s;s;;jjiq;s;s;;to receive s.t.;recevoir qqch.;;;;S1;;;m
jjiq;1;sn;nv;m;t;;;i/1vv;jjiq;n;n;;jjiq;s;s;;jjiq;s;s;;jjiq;s;s;;to put s.t. on s.t. or s.o.;mettre qqch. sur qqch. ou qqn;;;;S1;;;m
jjut;1;sv;vn;t;;;;;jjut jjuti;n n;n;;jjut jjuti;s s;s;;jjut jjuti;s s;s;;rut ruti;s s;s;;reason, cause, motive for doing s.t.;raison, cause, motif pour faire qqchose;;;;;;;m
juaq;1;sn;nn;t;;;;;juaq;i(r);i(r);;juaq;i(ir);i(ir);;juaq;son;son;;juaq;son;son;;large;;;;;;;;
juaq;2;sv;vv;m;n;;;;juaq;i(r);i(r);;juaq;i(ir);i(ir);;jusq;son;son;;juaq;son;son;;over-sized, exaggerated action;action exagérée;;;;A1;;;m
juit;1;sv;vv;m;n;;;;juit suit;n n;n;;juit tuit;s n;s n;;juit;s;s;;juit;s;s;;rarity of the action: 'rarely', 'seldom';rareté de l'action: 'rarement', 'peu souvent';;;;H1;;;m
juksaq;1;sv;vn;t;;;;;juksaq;n;n;;tuksaq;n;n;;tuksaq;n;n;;tuksaq;n;n;;someone or something who should (is supposed to) perform an action;quelqu'un ou quelque chose qui est supposé accomplir l'action;;;;H1;juq/1vn+ksaq/1nn;;m
juma;1;sv;vv;m;n;;;;juma guma;n n;n;;tuma guma;n s;n s;;guma;s;s;;ruma;s;s;;desire;désir;;;;H1;;;m
jumaaq;1;sv;vv;m;n;;;;jumaaq gumaaq;n n;n;;tumaaq gumaaq;n s;n s;;gumaaq;s;s;;rumaaq;s;s;;very distant future;futur très éloigné;;;;H1 A1;;;m
juminaq;1;sv;vv;m;i;;;;juminaq guminaq juminak guminak;n n n n;n;;tuminaq guminaq tuminak guminak;n s n s;n s n s;;guminaq guminak;s s;s;;ruminaq ruminak;s s;s;;causation of a desire to;cause le désir de;;;;H1;;;m
junnanngit;1;sv;vv;m;n;;;;junnanngit junanngit gunnanngit gunanngit;n n n n;n;;tunnanngit tunanngit gunnanngit gunanngit;n n s s;n n s s;;gunnanngit gunanngit;s s;s;;runnanngit runanngit;s s;s;;to not be able to;;;;;;;;
junnaq;1;sv;vv;m;n;;;;junnaq junaq gunnaq gunaq;n n n n;n;;tunnaq tunaq gunnaq gunaq;n n s s;n n s s;;gunnaq gunaq;s s;s;;runnaq runaq;s s;s;;capability: 'can', 'be able to';capacité: 'pouvoir', 'être capable de';;;;H1;;;m
junniiq;1;sv;vv;m;n;;;;junniiq juniiq juniq gunniiq guniiq guniq;n n n n n n;n;;tunniiq tuniiq tuniq gunniiq guniiq guniq;n n n s s s;n n n s s s;;gunniiq guniiq guniq;s s s;s;;runniiq runiiq runiq;s s s;s;;cessation of action: 'not any longer', 'not any more';cessation d'une action: 'ne ... plus';;;;H1;;;m
juq;1;sv;vn;t;;;;;juq;n;n;;tuq;n;n;;tuq;n;n;;tuq;n;n;;one who/something that does the action;quelqu'un/quelque chose qui accomplit l'action;;;;M1;;;m
juu;1;sv;vv;m;n;;;;juu;n;n;;juu;s;s;;juu;s;s;;juu;s;s;;distant past and historical past;passé lointain et passé historique;;;;H1;;;m
juummi;1;sv;vv;m;n;;;;juummi jumi;i(j) i(j);i(j);;juummi jumi;a a;a;;juummi  jumi;son son;son;;juummi jumi;son son;son;;to a small degree, a little;un peu;;;;H1;;;m
k&i;1;sn;nv;m;i;t;;;k&i;n;n;;?;?;?;?;r&i;s;s;;r&i;s;s;;there to be less of X;;;;;;;;
kaallaq;1;sv;vv;m;n;;;;kaallaq kaallak;n n;n;;kaallaq kaallak;s s;s;;kaallaq kaallak;s s;s;;kaallaq kaallak;s s;s;;suddenly;soudainement;;;;H1 A1;;;m
kainnaq;1;sv;vv;m;n;;;;kainnaq;n;n;;kainnaq;s;s;;kainnaq;s;s;;kainnaq;s;s;;brief action: 'for a brief time', 'for a short time';action brève: 'pour un court laps de temps';;;;H1;;Cumberland;m
kammiq;1;sv;vv;m;n;;;;kammiq;n;n;;kammiq;s;s;;kammiq;s;s;;kammiq;s;s;;recently;récemment;;;;H1;;;m
kasaak;1;sn;nn;t;;;;;kasaak;n;n;;kasaak;s;s;;kasaak;s;s;;kasaak;s;s;;incompleteness: 'almost';état incomplet: 'presque';;;;A1;;;m
kasak;1;sv;vv;m;n;;;;kasak kasaaq kasaak;n n n;n;;kasak kasaaq kasaak;s s s;s;;kasak kasaaq kasaak;s s s;s;;kasak kasaaq kasaak;s s s;s;;incompleteness: 'almost';;;;;;;;
kautigi;1;sv;vv;m;n;;;;kautigi tsautigi;n n;n;;kautigi tsautigi;s s;s;;kautigi tsautigi;s s;s;;kautigi tsautigi;s s;s;;(Harper) hastily;;;;;;;;
kia;1;q;q;;;;;;kia kiaq;n n;n;;kia kiaq;s s;s;;kia kiaq;s s;s;;kia kiaq;s s;s;;uncertainty: 'I wonder', 'I don't know';incertitude: 'Je me demande';;;;;;;
kisauti;1;sv;vv;m;i;;;;kisauti;n;n;;kisauti;s;s;;kisauti;s;s;;kisauti;s;s;;competition in the action of the verb;compétition dans l'action du verbe;;;number:d number:p;H1;;;m
kit;1;sn;nv;m;i;;;;kit;n;n;;kit;s;s;;kit;s;s;;kit;s;s;;to have small ...;avoir un petit, de petits ...;;;mode:ger;H1;;;m
kkaaluk;1;sv;vn;t;;;;;kkaaluk;n;n;;kkaaluk;s;s;;kkaaluk;s;s;;kkaaluk;s;s;;a person who performs very well the action of the verb;;;;;;;;
kkanniq;1;sv;vv;m;n;;;;kkanniq kanniq;n n;n;;kkanniq kanniq;s s;s;;kkanniq kanniq;s s;s;;kkanniq kanniq;s s;s;;repetition: 'once again';répétition: 'encore une fois';;;;H1;;;m
kkanniq;1;sn;nn;t;;;;;kkanniq kanniq;n n;n;;kkanniq kanniq;s s;s;;kkanniq kanniq;s s;s;;kkanniq kanniq;s s;s;;additionnal, more;additionnel, plus;;;;;;;m
kkaq;2;sv;vv;m;t;;;i/1vv;kkaq;n;n;;kkaq;s;s;;kkaq;s;s;;kkaq;s;s;;to make s.o. do s.t. intentionally;faire intentionnellement faire qqch. à qqn;;;;S1;;;m
kkaq;1;sv;vn;t;;;;;kkaq;n;n;;kkaq;s;s;;kkaq;s;s;;kkaq;s;s;;a person who performs well the action of the verb;une personne qui accomplit bien l'action du verbe;;;;H1;;;m
