morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
minni,tn,loc,s,3,p,mingni,n,,* mingni,i(i),,* mingni,s,,* mingni,nas,,,H2
mminni,tn,loc,d,3,p,ngmingni,allV,x,* ngmingni,iallV(i),,* ngmingni,sallV,x,* ngmingni,sallV,x,,H2
minni,tn,loc,p,3,p,mingni,n,,* mingni,i(i),,* mingni,s,,* mingni,nas,,,H2
mittut,tn,sim,s,3,p,miktut,n,,* miktut,i(i),,* miktut,s,,* miktut,nas,,,H2
mmittut,tn,sim,d,3,p,ngmiktut,allV,x,* ngmiktut,iallV(i),,* ngmkitut,sallV,x,* ngmiktut,sallV,x,,H2
mittitut,tn,sim,p,3,p,miktitut,n,,* miktitut,i(i),,* miktitut,s,,* miktitut,nas,,,H2
mikkut,tn,via,s,3,p,,n,,,i(i),,,s,,,nas,,,H2
mmikkut,tn,via,d,3,p,ngmikkut,allV,x,* ngmikkut,iallV(i),,* ngmikkut,sallV,x,* ngmikkut,sallV,x,,H2
mittigut,tn,via,p,3,p,miktigut,n,,* miktigut,i(i),,* miktigut,s,,* miktigut,nas,,,H2
nga,tn,nom,s,4,s,a,n n,- s,,i(i) s,,* a,s s,- s,* a,s s,- s,,H2
ngik,tn,nom,d,4,s,,allV,x,,iallV(i) n,,,sallV,x,,sallV,x,,H2
ngit,tn,nom,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngata,tn,gen,s,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngita,tn,gen,d,4,s,ngikta,allV,x,* ngikta,iallV(i),,* ngikta,sallV,x,* ngikta,sallV,x,,H2
ngita,tn,gen,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
nganik,tn,acc,s,4,s,anik,n n,- s,,i(i) s,,* anik,s s,- s,* anik,s s,- s,,H2
nginnik,tn,acc,d,4,s,ngingnik,allV,x,* ngingnik,iallV(i),,* ngingnik,sallV,x,* ngingnik,sallV,x,,H2
nginnik,tn,acc,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
nganut,tn,dat,s,4,s,anut,n n,- s,,i(i) s,,* anut,s s,- s,* anut,s s,- s,,H2
nginnut,tn,dat,d,4,s,ngingnut,allV,x,* ngingnut,iallV(i),,* ngingnut,sallV,x,* ngingnut,sallV,x,,H2
nginnut,tn,dat,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
nganit,tn,abl,s,4,s,anit,n n,- s,,i(i) s,,* anit,s s,- s,* anit,s s,- s,,H2
nginnit,tn,abl,d,4,s,ngingnit,allV,x,* ngingnit,iallV(i),,* ngingnit,sallV,x,* ngingnit,sallV,x,,H2
nginnit,tn,abl,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngani,tn,loc,s,4,s,ani,n n,- s,,i(i) s,,* ani,s s,- s,* ani,s s,- s,,H2
nginni,tn,loc,d,4,s,ngingni,allV,x,* ngingni,iallV(i),,* ngingni,sallV,x,* ngingni,sallV,x,,H2
nginni,tn,loc,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngatut,tn,sim,s,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngittitut,tn,sim,d,4,s,ngiktitut ngittut ngiktut,allV,x,* ngiktitut ngittut ngiktut,iallV(i),,* ngiktitut ngittut ngiktut,sallV,x,* ngiktitut ngittut ngiktut,sallV,x,,H2
ngititut,tn,sim,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngagut,tn,via,s,4,s,agut,n n,- s,,i(i) s,,* agut,s s,- s,* agut,s s,- s,,H2
ngittigut,tn,via,d,4,s,ngiktigut ngikkut,allV,x,* ngiktigut ngikkut,iallV(i),,* ngiktigut ngikkut,sallV,x,* ngiktigut ngikkut,sallV,x,,H2
ngitigut,tn,via,p,4,s,,n,,,i(i) s,,,s,,,s,,,H2
ngak,tn,nom,s,4,d,,n,,,i(i),,,s,,,s,,,H2
ngik,tn,nom,d,4,d,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
ngik,tn,nom,p,4,d,ngit,n,,* ngit,i(i),,* ngit,s,,* ngit,s,,,H2
ngata,tn,gen,s,4,d,ngakta,n,,* ngakta,i(i),,* ngakta,s,,* ngakta,nas,,,H2
ngita,tn,gen,d,4,d,ngikta,allV,x,* ngikta,iallV(i),,* ngikta,sallV,x,* ngikta,sallV,x,,H2
ngita,tn,gen,p,4,d,,n,,,i(i),,,s,,,s,,,H2
ngannik,tn,acc,s,4,d,ngangnik,n,,* ngangnik,i(i),,* ngangnik,s,,* ngangnik,s,,,H2
nginnik,tn,acc,d,4,d,ngingnik,allV,x,* ngingnik,iallV(i),,* ngingnik,sallV,x,* ngingnik,sallV,x,,H2
nginnik,tn,acc,p,4,d,ngingnik,n,,* ngingnik,i(i),,* ngingnik,s,,* ngingnik,s,,,H2
ngannut,tn,dat,s,4,d,ngangnut,n,,* ngangnut,i(i),,* ngangnut,s,,* ngangnut,s,,,H2
nginnut,tn,dat,d,4,d,ngingnut,allV,x,* ngingnut,iallV(i),,* ngingnut,sallV,x,* ngingnut,sallV,x,,H2
nginnut,tn,dat,p,4,d,ngingnut,n,,* ngingnut,i(i),,* ngingnut,s,,* ngingnut,s,,,H2
ngannit,tn,abl,s,4,d,ngangnit,n,,* ngangnit,i(i),,* ngangnit,s,,* ngangnit,s,,,H2
nginnit,tn,abl,d,4,d,ngingnit,allV,x,* ngingnit,iallV(i),,* ngingnit,sallV,x,* ngingnit,sallV,x,,H2
nginnit,tn,abl,p,4,d,ngingnit,n,,* ngingnit,i(i),,* ngingnit,s,,* ngingnit,s,,,H2
nganni,tn,loc,s,4,d,ngangni,n,,* ngangni,i(i),,* ngangni,s,,* ngangni,s,,,H2
nginni,tn,loc,d,4,d,ngingni,allV,x,* ngingni,iallV(i),,* ngingni,sallV,x,* ngingni,sallV,x,,H2
nginni,tn,loc,p,4,d,ngingni,n,,* ngingni,i(i),,* ngingni,s,,* ngingni,s,,,H2
ngattut,tn,sim,s,4,d,ngaktut,n,,* ngaktut,i(i),,* ngaktut,s,,* ngaktut,s,,,H2
ngittitut,tn,sim,d,4,d,ngiktitut,allV,x,* ngiktitut,iallV(i),,* ngiktitut,sallV,x,* ngiktitut,sallV,x,,H2
ngititut,tn,sim,p,4,d,,n,,,i(i),,,s,,,s,,,H2
ngakkut,tn,via,s,4,d,,n,,,i(i),,,s,,,s,,,H2
ngittigut,tn,via,d,4,d,ngiktigut,allV,x,* ngiktigut,iallV(i),,* ngiktigut,sallV,x,* ngiktigut,sallV,x,,H2
ngitigut,tn,via,p,4,d,,n,,,i(i),,,s,,,s,,,H2
ngat,tn,nom,s,4,p,,n,,,i(i) s,,,s,,,s,,,H2
ngik,tn,nom,d,4,p,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
ngit,tn,nom,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
ngata,tn,gen,s,4,p,,n,,,i(i) s,,,s,,,nas,,,H2
ngita,tn,gen,d,4,p,ngikta,allV,x,* ngikta,iallV(i),,* ngikta,sallV,x,* ngikta,sallV,x,,H2
ngita,tn,gen,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
ngannik,tn,acc,s,4,p,,n,,,i(i) s,,,s,,,s,,,H2
nginnik,tn,acc,d,4,p,ngingnik,allV,x,* ngingnik,iallV(i),,* ngingnik,sallV,x,* ngingnik,sallV,x,,H2
nginnik,tn,acc,p,4,p,innik,n,,,i(i) s,,,s,,,s,,,H2
ngannut,tn,dat,s,4,p,,n,,,i(i) s,,,s,,,s,,,H2
nginnut,tn,dat,d,4,p,ngingnut,allV,x,* ngingnut,iallV(i),,* ngingnut,sallV,x,* ngingnut,sallV,x,,H2
nginnut,tn,dat,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
ngannit,tn,abl,s,4,p,,n,,,i(i) s,,,s,,,s,,,H2
nginnit,tn,abl,d,4,p,ngingnit,allV,x,* ngingnit,iallV(i),,* ngingnit,sallV,x,* ngingnit,sallV,x,,H2
nginnit,tn,abl,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
nganni,tn,loc,s,4,p,,n,,,i(i) s,,,s,,,s,,,H2
nginni,tn,loc,d,4,p,ngingni,allV,x,* ngingni,iallV(i),,* ngingni,sallV,x,* ngingni,sallV,x,,H2
nginni,tn,loc,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
ngatitut,tn,sim,s,4,p,ngatut,n,,* ngatut,i(i) s,,* ngatut,s,,* ngatut,s,,,H2
ngittitut,tn,sim,d,4,p,ngiktitut,allV,x,* ngiktitut,iallV(i),,* ngiktitut,sallV,x,* ngiktitut,sallV,x,,H2
ngititut,tn,sim,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
ngatigut,tn,via,s,4,p,ngagut,n,,* ngagut,i(i) s,,* ngagut,s,,* ngagut,s,,,H2
ngittigut,tn,via,d,4,p,ngiktigut,allV,x,* ngiktigut,iallV(i),,* ngiktigut,sallV,x,* ngiktigut,sallV,x,,H2
ngitigut,tn,via,p,4,p,,n,,,i(i) s,,,s,,,s,,,H2
