morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
ipqaarniq,,1,n,,,,,,,,,thin sheet ice which forms on land at spring or fall when the rain freezes,couche mince de glace qui se forme sur le sol au printemps ou à l'automne lorsque la pluie gèle,,,,.
ipsuk,,1,v,t,,,,,,,i/1vv,to /shake s.t. out,,,,,
iptaq,,1,v,i,a,,,,,,,to be soaked or saturated with water,être trempé ou saturé d'eau,,,,.
ipu,,1,n,,,,,,,,,handle,,,,,
ipuk,,1,v,i,,,,,,nil,,"to row, to paddle (trans.: a boat)","ramer, pagayer (trans.: une embarcation)",,,,.
ipumiq,,1,v,i,,,,,,,,to close one's mouth,fermer la bouche,,,,.
iqa,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to regularly give to s.o.,donner régulièrement à qqn,,,,.
iqaluk,,2,n,,,,,,,,,small wood block with holes used to make meshes of fish-net,petit bloc de bois avec des trous utilisé pour faire les mailles d'un filet de pêche,,,,.
iqaluk,,1,n,,zoo,,,,,,,fish,,,,,
iqattaq,,1,v,i,,,,,,,,to bowl s.t. or pitch s.t. underhand,"faire rouler qqch., lancer qqch. en le faisant rouler",,,,.
iqi,,1,n,,ana,,,,,,,corner of the mouth,"coin de la bouche, commissure des lèvres",,,,.
iqia,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be lazy or apathetic about s.t.,,,,,
iqik,,1,v,t,,,,,,,si/1vv,[-R]to /circle s.t. with arms or hands,,,,,
iqirraq,,1,n,,,,,,,,,corner,,,,,
iqqanaiq,,1,v,i,,,,,,,,to be finished doing something,avoir fini de faire qqch.,,,,.
iqqaq,iqaq,1,v,t,,,,,,,i/1vv,"[-R]to /remember, /recollect s.t.","[T]se rappeler, se souvenir de quelque chose [P]être qqch. ou qqn dans l'état que qqn s'est souvenu",,,,.
iqqaq,,1,n,,,,,,,,,bottom of a body of water,fond d'un plan d'eau,,,,.
iqqik,,1,v,i,,,,,,,,to swallow involuntarily,avaler involontairement,,,,.
iqqiq,,1,n,,,,,,,,,louse egg,oeuf de pou,,,,.
iqquq,,1,n,,ana,,,,,,,the behind,,,,,
iqu,,1,v,i,,,,,,,,to twist one's nose sideways in a grimace or a 'face',se tordre le nez pour faire une grimace,,,,.
iquma,,1,v,i,a,,,,,,,to be wide awake,,,,,
iquq,,1,v,i,,,,,,,,to wipe one's behind,s'essuyer les fesses,,,,.
iquq,,1,n,,,,,,,,,shit or dung adhering to anus or to perianal hairs,merde ou crotte adhérant à l'anus ou aux poils autour de l'anus,,,,.
iqursu,,1,v,i,a,,,,,,,"to be a good shot (with a riffle, etc.)","être un bon tir (avec une carabine, etc.)",,,,.
ir&irpak,,1,n,,ana,,,,,,,molar tooth,dent molaire,,,,.
ir&u,,1,n,,ana,,,,,,,bowel,,,,,
iri,,1,v,t,res,,,,,,si/1vv,[-R]to /pluck s.t.,,,,,
irialaaq,,1,v,i,,,,,,nil,,to holler or yell or scream (trans.: at s.o.),crier (trans.: après qqn),,,,.
irjinga,,1,v,i,a,,,,,,,to have downwardly slanted eyes,avoir les yeux bridés vers le bas,,,,.
irligaq,,1,v,i,,,,,,nil,,to take the part of s.o. whom one loves and cares for,,,,,
irmik,,1,v,t,,,,,,,si/1vv,to /wash s.t.,/laver qqch.,,,,.
irngaq,,1,v,i,,,,,,,,to leak,avoir une fuite,,,,.
irnginnak,,1,e,,,,,,,,,exclamation: 'Just at this moment!',exclamation: 'En ce moment même!',,,,.
irnguma,,1,v,i,a,,,,,,,to be bored or frustrated,s'ennuyer,,,,
irngusiq,,1,n,,,,,,,,,mug,,,,,
irngutaq,,1,n,,,,,,,,,grandchild,petit-fils ou petite-fille,,,,.
irni,,1,v,i,,,,,,,,to give birth to a child,donner naissance à un enfant,,,,.
irniq,,1,n,,,,,,,,,son,fils (lien de parenté),,,,.
irpaq,,1,v,t,res,,,,,,si/1vv,to /bend s.t. out or away of something,"/courber, /plier qqch.",,,,.
irraq,,1,n,,,,,,,,,raincoat,manteau de pluie,,,,.
irruq,,1,v,t,res,,,,,,si/1vv,to /rinse s.t. out of a fabric or garment,/rinser qqch. d'un tissu ou d'un vêtement,,,,.
irsaq,,1,n,,ana,,,,,,,temple,,,,,
irsi,,1,v,i,a,,,,,gi/4vv,,to be afraid of sharp objects,avoir peur des objets tranchants,,,,.
irsuk,,1,v,i,,,,,,nil,,to carry s.t. over or across one's shoulder,porter qqch. sur l'épaule,,,,.
is&uaq,isuaq,1,v,i,a,,,,,,,to be good or benificial,,,,,
is&uuraq,,1,n,,zoo,,,,,,,black lake fish with white meat,poisson de lac noir à chair blanche,,,,.
isa,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to hurt s.o. a little to make him behave,"heurter qqn, lui faire de la peine un peu pour qu'il se comporte comme il faut",,,,.
isa,,1,n,,,,,,,,,moulting bird,oiseau qui mue,,,,.
isak,,1,v,i,,,,,,nil,,to spread one's arms out,,,,,
isaqqaq,,1,n,,zoo,,,,,,,baby walrus,bébé morse,,,,.
isi,,1,n,,,,,,,,,boot instep,cambrure d'une botte,,,,.
isibjuk,,1,v,i,,,,,,nil,,to whisper (trans.: s.t.),chuchoter (trans.: qqch.),,,,.
isiq,,1,n,,,,,,,,,(1) fire smoke (2) drum skin,(1) fumée d'un feu (2) peau de tambour,,,,.
isiqiksaq,,1,v,t,,,,,,,i/1vv,[-R]to /iron or /press s.t.,[-R]/repasser qqch. au fer,,,,
isivit,,1,v,t,res,,,,,,si/1vv,"to /uncoil, /unroll s.t.",[-R]/dérouler qqch. [R]se dérouler,,,,.
isu,isuk,1,n,,,,,,,,,(1) end,,,,,
isuma,,1,v,i,,,,,,,,to think,penser,,,,.
isuma,,1,n,,,,,,,,,thought,,,,,
isunngaq,,1,n,,zoo,,,,,,,jaeger,labbe (oiseau),,,,.
isuqqi,,1,v,i,,,,,,gi/4vv,,to comfort s.o.,réconforter qqn,,,,.
isuuq,,1,v,i,a,,,,,,,for the water to be dirty or muggy,,,,,
iti,,1,v,i,a,,,,,,,to be deep - speaking of the water,être profond (un cours d'eau),,,,.
itibli,,1,v,i,,,,,,,,to walk or talk in one's sleep,,,,,
itibliq,,1,n,,,,,,,,,"portage, land crossing between areas of sea ice",portage sur terre entre des surfaces de glace de mer,,,,.
itigak,,1,n,,ana,,,,,,,foot,pied,,,,.
itimak,,1,n,,ana,,,,,,,palm of the hand,,,,,
itiq,,1,v,t,res,,,,,,si/1vv,[-R]to /put s.t. in,,,,,
itiq,,1,n,,ana,,,,,,,anus,,,,,
itiruq,,1,n,,,,,,,,,urine,,,,,
itivik,,1,n,,,,,,,,,"the far unseen side of large inaccessible things like continents, seas, mountains, etc.","le côté éloigné invisible de choses larges et inaccessibles comme les continents, les océans, les montagnes, etc.",,,,.
ittaq,,1,a,,,,,,,,,a long time ago,,,,,
ittaq,,1,n,,,,,,,,,skin tent,tente en peau,,,,.
ittaujat,,1,n,,,p,,,,,,fat between intestines of muskox,gras entre les intestins du boeuf musqué,,,,.
itti,issi,1,n,,,,,,,,,fruit juice,,,,,
ittuaq,,1,v,i,,,,,,nil,,to watch or observe s.t. from hidden place,surveiller ou observer (trans.: qqch.) d'un endroit caché,,,,.
ittuq,,1,n,,,,,,,,,old man,,,,,
ituk,,1,n,,,,,,,,,milk in stomach of baby animals,lait dans l'estomac de bébés animaux,,,,.
iva,,1,v,i,,,,,,,,"to sit on one' s eggs, speaking of a bird",,,,,
ivaluk,,1,n,,ana,,,,,,,sinew,tendon,,,,.
iviangiq,,1,n,,ana,,,,,,,woman's breast,poitrine de femme,,,,.
ivik,,1,n,,,,,,,,,blade of grass,feuille d'herbe,,,,.
iviq,,1,v,i,,,,,,,,to insult s.o. in drum-dance song,insulter qqn dans un chant de danse du tambour,,,,.
ivit,,1,v,i,,,,,,,,"to wipe one's hands from dirt, slime, etc.","essuyer la saleté, la poussière, la boue, etc. de ses mains",,,,.
ivitaruq,,1,n,,zoo,,,,,,,lake salmon,saumon de lac,,,,.
ivu,,1,v,i,,,,,,,,"to break up and smash into pieces, speaking of the 'tuvaq' (solid sea ice adhering to the land)","se briser et éclater en morceaux, en parlant du 'tuvaq' (glace de mer solide adhérant à la terre)",,,,.
jaahahuuq,,1,n,,,,,,,,,pitcher,,,,,
japaq,,1,n,,,,,,,,,parka of European materials made in Inuit style,parka fait de matériaux européens dans un style inuit,,,,.
kaajuq,,1,v,i,a,,,,,,,to be stiff with cold,être rigide à cause du froid,,,,.
kaajuuq,,1,n,,zoo,,,,,,,rough-legged hawk,buse pattue,,,,.
kaak,,1,v,i,a,,,,,,,to be hungry,avoir faim,,,,.
kaak,,1,n,,,,,,,,,hunger,faim,,,,.
kaatilik,,1,n,,,,,,,,,harpoon for walrus hunting,harpon pour la chasse au morse,,,,.
kabjiq,,1,n,,ana,,,,,,,crown of the head,"couronne, dessus de la tête",,,,.
kagguaq,,1,v,t,,,,,,,si/1vv,[-R]to /knock s.o. or s.t. down,,,,,
kagli,,1,v,t,res,,,,,,si/1vv,[-R]to /draw near to s.t.,,,,,
kaipit,,1,v,i,,,,,,,,to put one's hands inside the sleeves of opposite arms,mettre ses mains à l'intérieur des manches opposées,,,,.
kaipkataq,,1,n,,,,,,,,,wire device for detecting presence of seal,dispositif utilisant un fil pour détecter la présence d'un phoque,,,,.
kaivit,kaiva kaivat,2,v,t,res,,,,,,si/1vv,"to /spin, /rotate, /revolve s.t.","[T]faire tourner, tournoyer qqch.[P]être fait qu'on tourne, qu'on tournoye[R]tourner, tournoyer",,,,.
kajjaq,,1,v,i,a,,,,,gi/4vv,,to be homesick,,,,,
kajjaq,,1,n,,,,,,,,,member of a wolf or weasel pack,membre d'une meute de loups ou de belettes,,,,.
kajumik,,2,v,i,a,,,,,,,to be eager to go hunting,avoir hâte d'aller à la chasse,,,,.
kajumik,,1,v,i,,,,,,,,"to blow, speaking of the wind",souffler (le vent),,,,.
kajungiq,,1,v,i,a,,,,,,,to be determined to do s.t.,être déterminé à faire qqch.,,,,.
kajuq,,2,n,,zoo,,,,,,,red fox,,,,,
kajuq,,1,n,,,,,,,,,red-brown,brun rouge,,,,.
kajusi,,1,v,i,,,,,,,,to continue,,,,,
kak&u,,1,n,,,,,,,,,hole melted in sea-ice around sea-weed or other iced-in thing,trou fondu dans la glace de mer autour d'algues ou d'autres choses prises dans la glace,,,,.
kaki,,1,v,t,,,,,,,si/1vv,to /prick s.t.,"/piquer, /trouer, /crever qqch.",,,,.
kakiaq,,1,v,t,,,,,,,si/1vv,to /clean s.t. or /clear s.t. of impurities or marks,/nettoyer qqch. de ses impuretés ou de ses marques,,,,.
kakkik,,1,n,,,,,,,,,snot,,,,,
kakkit,,1,v,t,,,,,,,si/1vv,to /wipe s.o.'s nose or upper-lip area,/essuyer-de qqn le nez ou la partie au-dessus de la lèvre supérieure,,,,.
kalaq,,1,v,t,,,,,,,si/1vv,to /draw on s.o.'s stomach,[T]dessiner sur l'estomac de qqn[P]se faire dessiner sur l'estomac[R]dessiner sur son propre estomac,,,,.
kalartuq,,1,v,i,,,,,,,,"to snort, speaking of a caribou","grogner, en parlant du caribou",,,,.
kalik,,1,v,t,,,,,,,si/1vv,"[-R]to /haul, /tow, /draw s.t.","[-R]/tirer, /haler, /remorquer qqch.",,,,.
kalik,,2,v,t,,,,,,,si/1vv,[T]to brush or rub lightly against s.t.,,,,,
kalliq,,1,v,i,,,,,,,,to thunder,tonner,,,,.
kalliq,,1,n,,,,,,,,,thunder,tonnerre,,,,.
kallupi&&uk,,1,n,,,,,,,,,little mythical green man,petit homme vert mythique,,,,.
kama,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to pay attention,,,,,
kamik,,1,v,i,,,,,,,,to put one's boots on,mettre ses bottes,,,,.
kamik,,1,n,,,,,,,,,boot,,,,,
kanaaq,,1,n,,ana,,,,,,,(1) shank of leg,,,,,
kanajuq,,1,n,,zoo,,,,,,,sea scorpion,scorpion de mer,,,,.
kanangnaq,kanangniq,1,n,,,,,,,,,the north-east,le nord-est,,,,.
kangala,,1,n,,zoo,,,,,,,spring caribou,caribou du printemps,,,,.
kangi,,1,n,,,,,,,,,junction between s.t. and its main body,,,,,
kangiingu,,1,v,i,,,,,,,,to squint,plisser les yeux,,,,.
kangiq,,1,n,,,,,,,,,snow-house vent,,,,,
kangir&uk,,1,n,,,,,,,,,bay,,,,,
kangiujaq,kanguujaq,1,n,,bot,,,,,,,arctic cotton,coton arctique,,,,.
kanguq,,1,n,,zoo,,,,,,,snow goose,oie des neiges,,,,.
kaniq,,1,n,,,,,,,,,frost from condensation,givre formé par la condensation,,,,.
kaniraq,,1,v,i,,,,,,,,"to walk up ahead of the dogs or sledge, or of the travelling party","marcher devant les chiens ou le traîneau, ou devant le groupe",,,,.
kanit,,1,n,,,p,,,,,,great caverns in the sea ice,grandes cavernes dans la glace de mer,,,,.
kanivaut,,1,n,,ana,,,,,,,diaphragm,diaphragme,,,,.
kanngii,,1,v,i,,,,,,,,to liven up (the pulling sled-dog),s'animer (le chien de traîneau de tête),,,,.
kanngu,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be embarassed,,,,,
kannuujaq,,1,n,,,,,,,,,copper,cuivre,,,,.
kapi,,1,v,t,,,,,,,si/1vv,to /spear s.t.,/transpercer qqch. (avec un harpon),,,,.
kappia,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be afraid of s.t.,avoir peur de qqch.,,,,
karualuk,,1,n,,,,,,,,,rolled oats,flocons d'avoine,,,,.
kasak,,1,v,t,,,,,,,si/1vv,"[-R]to /hit s.t. (a target), speaking of a marksman","[-R]/atteindre qqch. (une cible), en parlant d'un tireur",,,,.
kassiugaq,,1,n,,,,,,,,,rolled oats,flocons d'avoine,,,,.
kasuk,,1,v,t,,,,,,,si/1vv,to /hit or /knock s.o. on the head or elbow,,,,,
kasuk,,1,n,,,,,,,,,cigarette lighter,allume-cigarette,,,,.
katak,,2,v,t,res,,,,,,si/1vv,"[-R]to /drop s.t. [R]to drop, to fall",[-R]/échapper qqch. [R]tomber,,,,.
katak,,1,n,,,,,,,,,doorway,,,,,
kati,,1,v,t,res,,,,,,si/1vv i/1vv,[-R]to /gather s.t. together,,,,,
kattunga,,1,v,i,,,,,,,,to move slowly,,,,,
katu,,1,v,i,,,,,,,,to gang up to do s.t.,se rassembler pour faire qqch.,,,,.
kau,,1,v,i,,,,,,,,"to feel, look for s.t. in one's pockets","sentir, chercher qqch. dans ses poches",,,,.
kauk,,1,v,t,,,,,,,si/1vv,[-R]to /hammer s.t. or to /over-top s.t.,[-R]/battre qqch. au marteau,,,,
kauk,,1,n,,ana,,,,,,,(1) callus (2) walrus hide (3) egg white,(1) durillon (2) peau de phoque (3) blanc d'oeuf,,,,.
kaunnaq,,1,n,,,,,,,,,chewing gum,gomme à mâcher,,,,.
kavaq,,1,v,i,a,,,,,,,to be bored,,,,,
kavinnguaq,,1,n,,ana,,,,,,,ear-drum,tympan,,,,.
kavisiq,,1,n,,,,,,,,,fish scale,écaille de poisson,,,,.
kiak,,1,v,t,res,,,,,,si/1vv,[-R]to /scrape s.t. of hair after immersion in boiling water [R]to lose all its hair after being immersed in boiling water,[T]gratter les poils de qqch. après l'avoir immergé dans l'eau bouillante[P]être gratté de ses poils après avoir été immergé dans l'eau bouillante[R]perdre ses poils après avoir été immergé dans l'eau bouillante,,,,.
kiasik,,1,n,,ana,,,,,,,shoulder-blade,omoplate,,,,.
kibvati,,1,v,i,,,,,,,,to be able or strong enough to budge s.t.,être capable de ou assez fort pour faire bouger qqch.,,,,.
kiggaaluk,,1,n,,zoo,,,,,,,muskrat,rat musqué,,,,.
kiggaq,,1,v,t,,,,,,,i/1vv,[T]to convey a message for s.o.,,,,,
kiggavik,kiggaviarjuk,1,n,,zoo,,,,,,,peregrine falcon,faucon pèlerin,,,,.
kiglaq,,1,v,i,,,,,,,,"to have broken right at the edge of the land or coast, speaking of the ice",s'être brisée juste sur le bord du rivage ou de la côte (la glace),,,,.
kigliq,,1,n,,,,,,,,,(1) edge,,,,,
kigut,,1,n,,ana,,,,,,,tooth,dent,,,,.
kii,,2,v,i,,,,,,,,to clamp one's teeth together,serrer les dents,,,,.
kii,,1,v,i,,,,,,nil,,to clamp one's teeth down (trans.: on s.t.),,,,,
kiibjaq,,1,v,i,a,,,,,,,to be rough and abrasive,,,,,
kiinaq,,2,n,,,,,,,,,cutting edge of knife,bord coupant d'un couteau,,,,.
kiinaq,,1,n,,ana,,,,,,,face,figure,,,,.
kiitak,kiitaapik,1,a,,,,,,,,,a little bit,un petit peu,,,,.
kijjiq,,1,v,i,,,,,,,,"to become warm, speaking of the weather",se réchauffer (la température),,,,.
kik&u,,1,n,,,,,,,,,platform of stones for placing pots above fire,plateforme de pierres où l'on place les marmites au-dessus du feu,,,,.
kikiak,,1,n,,,,,,,,,nail,,,,,
kikit,,1,v,t,res,,,,,,si/1vv,to /chip or /break s.t.,"/ébrécher qqch., /enlever un éclat à qqch.",,,,
kikpaq,,1,v,t,res,,,,,,i/1vv,"[A](1) to /move s.t. to the edge of a raised platform [T](2) to take the bait, speaking of a fish [P]the bait to be taken by the fish","[A](1)/déplacer qqch. au bord d'une plateforme surélevée [T](2)mordre à l'appât, en parlant d'un poisson [P]être mordu par un poisson (appât)",,,,.
kiksaut,,1,n,,,,,,,,,layer of fat in stomach of caribou,couche de graisse dans l'estomac du caribou,,,,.
kikuliq,,1,n,,,,,,,,,sea-hole that has been used as a basking place and a breathing-hole,trou dans la glace qui a été utilisé comme lieu de repos et pour respirer,,,,.
kilaa,kilaaq,1,v,i,a,,,,,,,to have holes from melting,avoir des trous à cause de la fonte,,,,.
kilik,,1,v,t,,,,,,,si/1vv,[-R]to /cut s.t. (square-flipper or seal skin) into a line or a rope by going round and round,"[-R]/découper qqch. (une peau de phoque, phoque barbu) en une ligne ou en une corde (méthode circulaire)",,,,.
kiliq,,1,v,t,,,,,,,si/1vv,to /cut or /gash s.o.,"/couper, /entailler qqn",,,,.
kiliuq,,1,v,t,,,,,,,si/1vv,to /scrape s.t. free of debris or dirt,/gratter qqch. pour enlever les débris ou la poussière,,,,.
kilu,,1,n,,,,,,,,,(1) closed end of s.t. that has an opposite open end (2) garment seam,(1) extrémité fermée de qqch. dont l'autre extrémité est ouverte (2) couture dans un vêtement,,,,.
kiluk,,1,v,i,,,,,,,,to sew,coudre,,,,.
kimmik,,1,n,,ana,,,,,,,heel,talon,,,,.
kingaaq,,1,v,i,,,,,,,,to hurt one's shin,se blesser le tibia,,,,.
kingaq,,1,n,,,,,,,,,hill,,,,,
kingit,,1,v,i,a,,,,,,,"to be high, in relative position",être en position élevée relativement à autre chose,,,,.
kingu,,2,v,i,,,,,,,,to fall into the water because the boat or canoe capsized,tomber à l'eau parce que l'embarcation a chaviré,,,,.
kingu,,1,v,i,,,,,,,,"to capsize, speaking of a boat or canoe",chavirer (embarcation),,,,.
kingu,,1,n,,,,,,,,,rear,,,,,
kinguq,,1,n,,zoo,,,,,,,sea louse,,,,,
kini,,1,v,i,,,,,,nil,,to make a baby urinate or help a baby urinate,faire uriner un bébé,,,,
kiniliq,,1,n,,,,,,,,,seal-hole full of water,trou de phoque rempli d'eau,,,,.
kiniq,,1,v,i,a,,,,,,,to be slow or sluggish in one's movement due to friction,avoir un mouvement lent à cause de la friction,,,,.
kiniq,,1,n,,,,,,,,,"front flap, lap of a tunic","pan de devant d'un habit, d'une tunique",,,,.
kinirsit,,1,n,,ana,,,,,,,tonsil,amygdale,,,,.
kinngiq,,1,n,,,,,,,,,space left by a removed tooth,espace laissant vacant après avoir enlevé une dent,,,,.
kipi,,1,v,t,,,,,,,si/1vv,to /cut or /sever s.t.,"/couper, /trancher qqch.",,,,.
kipiktat,,1,n,,,p,,,,,,one hundred (S. Baffin),cent (Baffin sud),,,,.
kipingu,,1,v,i,a,,,,,,,"to be lonesome, bored, frustrated","être seul, frustré",,,,
kipkaq,,1,v,i,,,,,,,,to gnaw at meatless bone,ronger un os sans viande,,,,.
kipkaq,,1,n,,,,,,,,,bone with little or no meat,os avec peu ou pas de viande,,,,.
kippaq,,1,n,,,,,,,,,(1) part sawn off (2) square stern,(1) partie qu'on a sciée (2) arrière d'embarcation carré,,,,.
kipuk,,1,v,i,,,,,,,,(1) to be cross each other's path,,,,,
kisaq,,1,v,t,,,,,,,i/1vv,to /anchor s.t.,/ancrer qqch.,,,,.
kisiani,,1,c,,,,,,,,,but,mais,,,,.
kisimi,,1,c,,,,,,,,,alone,,,,,
kissik,,1,v,i,,,,,,nil,,to brake s.t. with one's foot,briser qqch. avec son pied,,,,.
kitigaq,,1,n,,,,,,,,,esker,,,,,
kitik,,1,v,t,,,,,,,si/1vv,[-R]to /count s.t.,[-R]/compter qqch.,,,,.
kitingujaak,,1,n,,,,,,,,,river valley,vallée avec une rivière,,,,.
kiu,,1,v,i,,,,,,nil,,"to answer, to reply (trans.: to s.o.)",répondre (trans.: à qqn),,,,.
kivi,,1,v,i,,,,,,,,to sink in the water,couler dans l'eau,,,,.
kivik,,1,v,t,,,,,,,i/1vv,[-R]to /lift s.t. up,"[-R]/lever, /soulever qqch.",,,,.
kiviq,,1,v,t,,,,,,,si/1vv,to /bend s.t. backwards,/plier qqch. vers l'arrière,,,,.
kublu,,1,n,,ana,,,,,,,thumb,pouce,,,,.
kubviri,,1,v,i,,,,,,nil,,"to pour water, liquid over s.o. or s.t.","verser de l'eau, du liquide (trans.: sur qqn ou qqch.)",,,,.
kubvit,,1,n,,,,,,,,,jug,,,,,
kugluk,,1,v,t,,,,,,,si/1vv,to /double or /fold s.t. lengthwise,/doubler ou /plier qqch. sur la longueur,,,,.
kujak,,1,v,i,,,,,,,,to copulate,,,,,
kujak,,1,n,,,,,,,,,copulation,copulation,,,,.
kujjak,,1,v,t,res,,,,,,si/1vv,to /crack or /snap s.t.,/craquer ou /casser qqch. net,,,,.
kujjaq,,1,v,t,res,,,,,,si/1vv,to /turn s.t. upside-down,/retourner qqch. sens dessus-dessous,,,,.
kujjiniq,,1,n,,,,,,,,,hole melted about sea-weed on sea-ice,trou fondu autour d'une algue dans la glace de mer,,,,.
kukaq,,1,v,i,,,,,,,,to eat,manger,,,,.
kukik,,1,n,,ana,,,,,,,finger nail or toe nail,,,,,
kukki,,1,v,i,,,,,,,,to have s.t. caught between one's teeth,avoir qqch. pris entre les dents,,,,.
kukki,,1,n,,,,,,,,,food particle in teeth,particule de nourriture entre les dents,,,,.
kuku,,1,n,,,,,,,,,cocoa or chocolate,,,,,
kukukpaq,,1,n,,,,,,,,,apex or top of parka hood or of hat,pointe du capuchon d'un parka ou d'un chapeau,,,,.
kukuvalaaq,,1,v,i,a,,,,,,,to be dotted or spotted,être tacheté,,,,.
kulavak,,1,n,,zoo,,,,,,,pregnant caribou cow,femelle caribou enceinte,,,,.
kumak,,1,n,,zoo,,,,,,,louse,,,,,
kumik,,1,v,t,,,,,,,si/1vv i/1vv,to /scratch s.o. (to relieve itch),"/gratter qqch. ou qqn, pour enlever la démangeaison",,,,.
kunigu,,1,n,,,,,,,,,down hair of a bird,duvet d'oiseau,,,,.
kunik,,1,v,t,,,,,,,si/1vv,to /kiss s.o.,/embrasser qqn,,,,.
kusii,,1,e,,,,,,,,,exclamation to chase the dogs away,exclamation pour faire fuir les chiens,,,,.
kusiq,,1,v,i,,,,,,,,to drip a drop of liquid or water,laisser tomber une goutte d'eau ou de liquide,,,,.
kusiq,,1,n,,,,,,,,,drip or droplet of water or liquid,goutte d'eau ou de liquide,,,,.
kutak,,1,v,i,,,,,,,,to speak babyishly,,,,,
kuuk,,1,v,i,,,,,,,,"to run or course, speaking of the water of a river, stream, etc","courir (eau d'une rivière, d'un ruisseau, etc.)",,,,.
kuuk,,1,n,,,,,,,,,river,rivière,,,,.
kuukuusi,,1,n,,zoo,,,,,,,pig,,,,,
kuussiq,,1,n,,ana,,,,,,,hip-bone,hanche,,,,.
kuut,,1,v,i,,,,,,,,to turn one's toes inward,,,,,
kuvi,,1,v,t,res,,,,,,si/1vv,to /spill or /pour s.t. out (liquid),/renverser ou /verser qqch. (liquide),,,,.
maajuq,,1,n,,zoo,,,,,,,blue fox,renard bleu,,,,.
maaktu,,1,v,i,a,,,,,,,to be robust,,,,,
maanna,,1,a,,,,,,,,,now,maintenant,,,,.
maartak,,1,n,,,,,,,,,sealskin removed of hair by scraping,peau de phoque dont les poils ont été enlevés par râclage,,,,.
magujji,,1,v,i,,,,,,nil,,to chase caribou by sled,chasser le caribou en traîneau,,,,.
mai,,1,e,,,,,,,,,expression of amazement: 'My!',,,,,
mait,,1,v,i,a,,,,,,,to be frail,,,,,
majjaaq,,1,v,t,,,,,,,si/1vv,to /thin or /scrape thin s.t. (skin or boot-sole),/amincir ou /gratter qqch. (peau ou semelle de botte),,,,.
majuq,,1,v,i,,,,,,,,(1) to go up or climb s.t. (2) to go ashore from boat or from sea-ice,(1) aller sur le sommet de qqch.,,,,
mak&ak,,1,n,,zoo,,,,,,,"shaman's word for ""bearded seal""","mot de shaman pour ""phoque barbu""",,,,.
maki,,1,v,t,res,,,,,,si/1vv,"[-R]to /rip or /take s.t. apart (the seam of a boot) [R]to come undone, speaking of a seam",[-R]/déchirer ou /défaire qqch. (la couture d'une botte)[R]se défaire (une couture),,,,.
makit,,1,v,t,,,,,,,si/1vv,"to /set s.t. right, straight, in proper position","/placer qqch. droit, dans la position adéquate",,,,.
makkaq,,1,n,,ana,,,,,,,dome of skull,dôme du crâne,,,,.
makkuk,,1,v,i,a,,,,,,,"to be young, youthful",être jeune,,,,.
makpat,,1,v,i,,,,,,,,to cut snow-blocks from the surface of the snow,couper des blocs de neige,,,,.
makpiq,,1,v,t,res,,,,,,si/1vv,[T]to turn the edge of something over,,,,,
maktaaq,,1,n,,,,,,,,,skin of white whale or beluga,peau de baleine blanche ou béluga,,,,.
maktak,,1,n,,,,,,,,,skin of Greenland whale,peau de baleine boréale,,,,.
maktiq,,1,v,t,,,,,,,i/1vv,[-R]to /mend s.t.,"/réparer, /repriser qqch.",,,,.
makuttiq,,1,pr,,,,,,,,,s.t. the name of which is unknown when replying to a question,qqch. dont on ne connaît pas le nom lorsqu'on répond à une question,,,,.
malatu,,1,n,,zoo,,,,,,,midget species of jar seal,espèce naine de phoque annelé,,,,.
malik,,1,v,i,,,,,,nil,,(1) to follow (trans. [-mik]: s.o. or s.t.) (2) to obey (trans. [-mik]: s.o.),,,,,
mallaaq,,1,v,i,a,,,,,,,to have hang-nails,avoir de petites peaux aux ongles (appelées 'envies'),,,,.
malliaq,,1,v,i,,,,,,nil,,to patch the hole in s.t.,rappiécer un trou dans qqch.,,,,.
malliq,,1,v,i,a,,,,,,,"to be choppy or rough with waves, speaking of a plan of water","être clapoteux, agité par les vagues, en parlant d'un plan d'eau",,,,.
malliq,,1,n,,,,,,,,,wave,vague,,,,.
mamaaq,,1,v,i,a,,,,,,,to have dandruff or falling hair,avoir des pellicules ou des cheveux qui tombent,,,,.
mamaaq,,1,n,,,,,,,,,dandruff,pellicule,,,,.
mamaq,,1,v,i,a,,,,,,,to be gratifying to the senses,être gratifiant pour les sens,,,,.
mamaut,,1,n,,ana,,,,,,,animal teat,tétine d'un animal,,,,.
mamiak,mamia,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to regret s.t.,,,,,
mamik,,1,v,i,,,,,,nil,,to sew up the tear or rent in a garment,coudre une déchirure ou un accroc dans un vêtement,,,,.
mamik,,1,n,,,,,,,,,leather side of animal skin,côté cuir d'une peau d'animal,,,,.
mamit,,2,v,i,a,,,,,,,"to have healed, speaking of a wound or cut","être guérie (blessure, coupure)",,,,.
