#incho#/1vv            commencer à
juksaq/1vn             quelqu'un ou quelque chose qui est supposé accomplir l'action
juma/1vv               désir
jumaaq/1vv             futur très éloigné
juminaq/1vv            cause le désir de
junnanngit/1vv         ne pas pouvoir; occasionnellement, signifie "jamais"
junnaq/1vv             capacité: 'pouvoir', 'être capable de'
junniiq/1vv            cessation d'une action: 'ne ... plus'
juq/1vn                quelqu'un/quelque chose qui accomplit l'action
juu/1vv                passé lointain et passé historique
juummi/1vv             un peu
k&i/1nv                y avoir moins de X; une diminution de X
kaallaq/1vv            soudainement
kainnaq/1vv            action brève: 'pour un court laps de temps'
kammiq/1vv             récemment
kasaak/1nn             état incomplet: 'presque'
kasak/1vv              action incomplète: 'presque'; avec une proposition subordonnée au conditionnel passé ('si j'avais...'), un verbe principal avec ce suffixe prend un sens subjonctif ('j'aurais ...)
kautigi/1vv            (Harper) avec hâte; rapidement; prématurément; (Spalding) en même temps que
kia/1q                 incertitude: 'Je me demande'; 'Je ne sais pas'
kisauti/1vv            compétition dans l'action du verbe
kit/1nv                avoir un petit, de petits ...
kkaaluk/1vn            une personne qui accomplit très bien l'action du verbe: 'il/elle/ils/elles ... bien'
kkanniq/1nn            additionnel, plus
kkanniq/1vv            répétition: 'encore une fois'
kkaq/1vn               une personne qui accomplit bien l'action du verbe
kkaq/2vv               faire intentionnellement faire qqch. à qqn
kkiq/1nn               une personne avec de grosses/grandes parties corporelles
kkut/1nn               groupe, famille, personnes reliées à
ksaq/1nn               matériau, quelque chose qui deviendra ou sera utilisé pour quelque chose; potentiel pour
ksaq/1nv               rassembler ce qu'il faut pour fabriquer un objet
ksaq/1vv               ajouté aux verbes 'gi' pour les rendre intransitifs
ksaq/2vv               trouver, considérer qqn ou qqch. ...
ksi/1vv                ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs
kulu/1nn               renforcement de l'idée de petitesse; 'cher petit'
kutaaq/1nn             grand, long
kutaaq/1vv             être, faire pendant longtemps
kuvik/1nn              un endroit pour garder; un contenant pour
laaq/1nn               diminutif: 'petit'
laaq/2vv               futur éloigné
laaq/3vn               superlativité: 'celui qui ... le plus'
lak/1vv                un peu
langa/1vv              immédiatement, tout de suite (aujourd'hui)
lataaq/1nn             véritable, vrai
lataaq/2vv             certitude de l'action: 'réellement', 'certainement'
laukak/1vv             action brève: 'pour un court laps de temps'
lauq/1vv               passé perçu général; 'avant' ou 'après' lorsque complété avec des terminaisons au mode participe
lauq/2vv               priorité de l'ordre
lauqsima/1vv           passé indéfini
lauqsimajunniiq/1vv    l'action a cessé il y a très longtemps = ne pas avoir fait depuis longtemps
li/1q                  mais
li/2vv                 faire que qqch. ou qqn ... (réfl.: devenir); fabriquer qqch. (trans.: pour qqn)
li/3nv                 construire qqch. (trans.: pour qqn); avec certains mots: trouver qqch.
li/4vv                 faire qqch. de cette manière
liaq/1nn               quelque chose qui a été construit
liaq/2nv               mouvement vers; 'aller à, vers'; 'aller chasser' avec des noms d'animaux, lorsque le chasseur sait où aller
ligaa/1vv              action imminente: 'être sur le point de'
lijaq/1nv              apporter avec soi
lik/1nn                possession: 'quelqu'un avec' (en position finale, il peut prendre un sens verbal à la 3ème personne)
lik/2nv                aller à; rencontrer, trouver par hasard
lik/3nv                donner, fournir, offrir, aller chercher qqch. (trans.: à qqn)
limaaq/1nn             inclusion: 'tout le', 'l'ensemble de'; (pluriel) chacun de, chaque
limaaq/2vv             sans cesse
liq/1vv                action en cours
liq/2nv                fournir; mettre qqch. (trans.: à, sur qqn)
liq/3nv                aller à, vers
liqi/1nv               poursuivre, chasser
lirai/1vv              aucune signification
liri/1nv               manipulation: 'travailler avec, sur'
lisaaq/1vv             venir juste de commencer à, venir juste d'arriver, pour la première fois, venir seulement de
lisaq/1nn              contenant ou soutien pour des parties du corps
litainnaq/1vv          enfin; finalement
liuq/1nv               construction en cours: 'être en train de construire qqch.' (trans.: pour qqn)
llaaluk/1vn            exagération de l'action
llaq/1vv               pesamment; maladroitement
llarik/1vv             certitude de l'action: 'réellement', 'certainement'
llarik/2nn             véritable, vrai
lu/1q                  et
luaq/1vv               action excessive: 'trop'; 'tout à fait'
luaq/2nn               exact
luk/1nv                avoir quelque chose qui est mauvais ou de pauvre qualité
luk/2nn                quelque chose de mauvais ou de pauvre qualité
luk/3vv                accomplir une action d'une mauvaise ou d'une piètre façon
luktaaq/1nn            inclusion: 'tout le', 'l'ensemble de'
luktaat/1nn            inclusion: 'tous les'
luunniit/1q            ou; même; 'ou...ou' lorsqu'utilisé sur deux mots
ma/1vv                 être dans un état de
mi/1vv                 encore; de nouveau
miik/1vn               exclamation: "Oh! comme c'est ...!"
miniq/1nn              dénote un état antérieur; passé non perçu lorsqu'il suit une terminaison gérondive
miuq/1nn               résidant d'un nom d'endroit
miutaq/1nn             qui a résidence, qui habite à; qui se porte à
mmarik/1nn             véritable
mmarik/2vv             certitude: 'réellement', 'certainement'
mmiaq/1vv              continuité dans l'action; répétition de l'action
najaq/1vv              action dépendante d'une condition
nanngit/1vv            empêcher
naq/1vv                cause: 'causer, produire, rendre'
naq/2vn                1) exclamation: comme c'est...! 2) qqch. qui cause...
nasaaq/1vv             tard
nasugi/1vv             penser, avoir l'opnion que qqn (réfl.: soi-même) ...
nasuk/1vv              essayer
nga/1vv                être dans un état de
ngaaq/1nv              venir de
ngaaq/2vv              faire une action au lieu d'une autre: 'plutôt', 'au lieu'; faire qqch. beaucoup, abondamment
ngaaq/3nn              plutôt, au lieu
ngau/1nv               mouvement vers; 'vers', 'à'
ngu/1nv                avec noms de parties du corps: maladie, douleur: 'avoir mal à ...'; avec ce membre fatigué; avec noms de nourriture: avoir une légère envie de le vomir
nguq/1nv               changement d'état: 'devenir' (trans.: faire devenir qqn); avec nombres: exprimer l'heure, la date
nialauq/1vv            'était/étaient pour, allait/allaient faire qqchose'; 'aurait/auraient ...'
niaq/1nv               étudier; avoir un grand intérêt pour; avec animaux: chasser
niaq/2vv               futur, aujourd'hui
niaqqau/1vv            'était/étaient tout juste pour, allait/allaient tout juste faire qqchose'; 'aurait/auraient juste à ce moment...'
niaqtaksari/1vv        vraisemblance ou probabilité dans le futur: 'vraisemblablement'; 'probablement'
niq/1vv                passé non perçu avec formes verbales pures
niq/2vn                nom abstrait de l'action du verbe
niqpaq/1vn             superlatif
niqsaq/1vn             comparaison
niraq/1vv              rapporter une action; 'dire que qqn (réfl.: soi-même) ...'
nitaq/1nn              d'il y a longtemps
niujaq/1vv             action imminente: 'être sur le point de'; action incertaine
niusau/1vv             action imminente: 'être sur le point de'
niut/1vn               quelque chose à utiliser en faisant ...
nnajuk/1nn             désapprobation ou amoindrissement; sarcasme
nnajuk/2vv             exprime la désapprobation ou l'amoindrissement, la légère surprise que quelqu'un agirait ou oserait agir d'une certaine façon; sarcasme
nngai/1q               enjolement, question inoffensive; mot d'accueil
nngaq/1nv              mouvement originant de: 'venir de'
nngiq/1nn              très libre; peu farouche
nngit/1vv              négation générale; 'ne...pas'
nnguaq/1nn             ressemblance: 'qui ressemble à'
nnguaq/2vv             simuler; faire semblant; prétendre
nnguk/1vv              être fatigué de, lassé de
nngusuk/1vv            être enclin à, se sentir porté à faire quelque chose
nnik/1vv               ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs
paaluk/1vn             exagération de l'action: 'beaucoup'
paaq/1nn               1) le plus ... de tous; superlatif 2) gros, très, puissant, considérable
paaq/1vv               exclamation: 'Oh, que ...!'
paluk/1vn              un peu; jusqu'à un certain point
paluk/2vv              un peu; jusqu'à un certain point
pasaaq/1vv             surprise inattendue
patsiuk/1nn            désapprobation forte
pillaq/1vv             brièvement; peu de temps
qai/1q                 peut-être
qajaa/1nn              négation; manque de: 'pas de ...'
qajaanngit/1nv         ne pas avoir de ...
qalauq/1vv             action brève: 'quelques minutes'
qallaq/1nn             courtaud
qaminngit/1vv          ne vient pas de faire qqchose, mais l'a fait il y a quelque temps
qammaq/1nn             pauvre, de mauvaise qualité, sans valeur
qammaq/2vv             pauvrement, mal (qualité)
qaq/1nv                avoir, posséder
qarvik/1nn             un endroit pour, ou pour garder
qatau/1vv              accompagner dans l'action
qatauti/1vv            action mutuelle: 'l'un l'autre'
qati/1nn               qquun qui a le même ..., qui est le même
qati/1vn               partenaire pour
qattaq/1vv             action régulière ou habituelle; 'souvent'
qauq/1nv               posséder plusieurs ...
qauti/1nn              contenant pour ...
qi/1vv                 faire qqchose par soi-même
qqaaq/1vv              d'abord, en premier (avant de faire quoi que ce soit d'autre); le(s) premier(s) à faire qqch.; avant que (avec terminaisons négatives au participe) ou après que (avec terminaisons positives au participe)
qqau/1vv               passé récent perçu
qqautau/1vv            être le(s) premier(s) à faire qqchose
qquqtu/1nv             avoir de grands ... (parties du corps)
qquuq/1vv              probablement
qu/1vv                 'de sorte que' lorsqu'utilisé avec des terminaisons verbales au participe
qu/2vv                 désirer, souhaiter que quelque chose soit fait
quti/1nn               propriété propre, qui appartient à qqn
quuji/1vv              ressemblance; 'sembler'; 'ressembler'
rajaaq/1vv             être lent, prendre longtemps à faire qqchose
ralaaq/1nn             petit
raq/1vv                action prolongée, ou action survenant par étapes distinctes successives
rataaq/1vv             passé immédiat perçu: 'venir juste de'
ri/1vv                 ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs
rngaq/1vv              pour la première fois
rujuk/1vv              un peu
rujuq/1nn              ensemble de gens, de choses; caractéristique
rujuq/2nn              utilisé avec des noms d'endroit pour indiquer l'endroit et ses environs, ou après des nombres pour indiquer le temps approximatif
rulu/1nn               désapprobation sévère (lorsque ce suffixe est en position finale, le mot peut être interprété comme un verbe à la 3ème personne); dégoût, moquerie
rulu/2vv               désapprobation sévère; dégoût, moquerie
rusiq/1vn              une unité de, une section ou partie de
rusiq/2nn              une unité de, une section ou partie de
saali/1vv              tôt
saaq/1vn               qui vient juste de faire l'action
saaq/1vv               venir tout juste de; rapidement, avec hâte; avec impératif: 'simplement'
saq/1vv                en train de travailler à quelque chose pour obtenir un résultat désiré, d'habitude par une action prolongée
sarait/1vv             facilité ou rapiditié de l'action: 'facilement'; 'rapidement'
saritu/1vv             être lent
si/1vv                 ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs
si/2vv                 l'action est faite maintenant, alors que ce n'était pas le cas auparavant; être prêt à; commencer à
si/3vv                 ajouté aux verbes 'gi' pour les rendre intransitifs
si/4nv                 voir un animal; découvrir qqch (trans.: qui appartient à qqn d'autre); recevoir (après avoir cherché)
siaq/1nn               qqch qui a été trouvé
siaq/1nv               rencontrer; trouver
siaq/1vn               une action dont on attend la complétion
sima/1vv               être dans un état atteint à la suite d'une action complétée (le mot peut être actif, ou passif)
siq/1vv                pendre, placer qqchose, ou qqchose être pendue ou placée, pour un processus naturel; attendre qu'une action se fasse ou s'achève
siq/2vn                coutume; façon; habitude; manière de faire qqchose
siri/1nv               avoir mal à
siuq/1nv               chercher qqch. (trans.: de, pour, concernant qqn) ; voyager à travers un espace (passer par) ou le temps (passer); célébrer
siut/1nn               quelque chose pour, pour être utilisé avec qqch ou à une certaine occasion
suk/1vv                ajouté aux verbes 'gi' pour les utiliser intransitivement
sungaaq/1vv            'si au moins'
sungnik/1nv            sentir ou goûter comme quelque chose
sungnik/2nn            quelque chose avec la senteur ou le goût de (lorsque le suffixe est en position finale, le mot peut être interprété verbalement à la 3ème personne)
suq/1vv                action prolongée: 'pendant longtemps'
suujaq/1vv             action prolongée: 'pendant longtemps'
suuq/1vn               quelqu'un qui accomplit habituellement une action (sque le suffixe est en position finale, le mot peut être interprété verbalement à la 3ème personne)
suuq/2nn               similarité; quelqu'un qui est similaire à
t/1vv                  l'action est faite, exercée, appliquée sur lui, à lui, par égard à lui, à cause de lui, au lieu de lui
taaq/1nv               acquisition: 'obtenir', 'acquérir'
taaq/2nn               quelque chose nouvellement acquise
taasaaq/1nn            quelque chose nouvellement acquise
tainnaq/1vv            enfin; finalement
talik/1nn              possession de quelque chose déjà mentionné
tamaat/1nn             chaque
tannaq/1nn             courtaud
tappiaq/1vv            possibilité de quelque chose d'indésirable: 'pourrait'
taq/1vv                action répétitive avec idée de va-et-vient; souvent
taq/2nv                cueillir; recueillir
taqaq/1nv              possession de quelque chose déjà mentionné
tigi/1vv               être aussi ... que
tiq/1vn                jeune personne précoce qui accomplit une action bien
tit/1vv                causer; faire que qqn (réfl.: soi-même) fait qqch.
tsaliq/1vv             réellement
tsiaq/1vv              faire quelque chose bien, correctement
tsiaq/2nn              gentil; bon
tsiavak/1nn            très bon, excellent
tsiriaq/1vv            être facilement ...
ttaili/1vv             refuser de
ttauq/1q               et, aussi
ttuq/1nv               commencer à avoir un grand, de grands ...; commencer à avoir beaucoup de ...
tu/1nv                 avoir un grand, de grands...; avoir beaucoup de ...
tu/1vv                 profondément; beaucoup; très souvent
tuaq/1vv               action immédiate: 'aussitôt que ...'; exclusivité de l'action: 'si seulement...'
tuaq/2nn               exclusivité: 'seulement un'; 'seul'
tuinnaq/1vv            simplement; seulement; ne fait rien d'autre que; quelquefois 'toujours'
tuinnaq/2nn            ordinaire, sans qualité spéciale; 'seulement', 'simplement'
tuinnariaqaq/1vv       seule action qui reste: 'n'avoir rien d'autre à faire que...'
tuinnau/1vv            l'action est accomplie par tous
tukaq/1nn              vieux
tuq/1nv                utiliser un objet de la façon dont il a été prévu ou de la façon le plus normale; aliments: 'consommer'
tuq/1vv                action prolongée: 'pendant longtemps'
tuqaq/1nn              vieux, acquis il y a longtemps
tuuq/1nn               attaché à des noms d'animaux pour signifier 'un endroit abondant en...'
tuuq/2nv               'Que j'aimerais donc...'
u/1nv                  existence; est
ujjaq/1vn              qqch. pour, à, avec laquelle une action est faite; qqch. qui est apporté, transporté, qu'on est allé chercher; qqch. qui est attrapé, pris
ujjuaq/1vv             compétition dans l'action du verbe
uq/1nv                 aller, passer à travers
uq/2nv                 imiter, faire comme
uq/3vv                 fréquentatif: plusieurs sujets; plusieurs objets
uqqaq/1vv              faire une action de manière répétée sur quelque chose: "l'un après l'autre"
usiq/1vn               coutume; façon; habitude; manière usuelle de faire qqchose
ut/1vn                 objet, instrument, outil pour faire qqch.; temps d'une action
ut/2nn                 sac, contenant pour; qqch. qui contient...
uti/1vv                faire l'action pour, à, avec qqn; avec mots de movement: apporter, aller chercher, transporter qqch.
uti/3nn                pronom indéfini 'quelqu'un'
vaalliq/1vv            faire quelque chose qu'on ne faisait pas auparavant
vagiq/1vv              avoir déjà accompli une action
vai/1nv                aller vers un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...)
vak/1vv                action commune: 'souvent'
valatsi/1vv            ressembler par le son à; avoir le même son que
vallai/1vv             probablement
vallia/1vv             progression; 'graduellement'
vaq/1nv                aller vers un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...)
vasaaq/1vv             faire ce qu'on n'a jamais fait auparavant
vasik/1nv              être trop près d'un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...)
vigjuaraaluk/1vn       extrême: 'très, très' (lorsque le suffixe est en position finale, le mot peut être interprété comme un verbe à la 3ème personne)
vik/1nn                énorme; très impressionnant
vik/2vv                finalité: 'pour de bon'; 'pour toujours'
vik/3vn                endroit où se passe l'action du verbe
viniq/1nn              dénote un état antérieur; passé non perçu lorsqu'il suit une terminaison gérondive
vvaluk/1nv             ressembler par le son à; avoir le même son que
